Process   Expected-WW-negative Expected-WW-positive Observed-WW-negative Observed-WW-positive Expected-WZ-negative Expected-WZ-positive Observed-WZ-negative Observed-WZ-positive Expected-WW+WZ-negative Expected-WW+WZ-positive Observed-WW+WZ-negative Observed-WW+WZ-positive
------------------------------------------  
$f_{\text{T0}}/\Lambda^{4}$ -1.5 2.3     	    -2.1 2.7     	    -1.6 1.9     	    -2.0 2.2     	    -1.1 1.6     	    -1.6 2.0
$f_{\text{T1}}/\Lambda^{4}$ -0.81 1.2    	    -0.98 1.4    	    -1.3 1.5     	    -1.6 1.8     	    -0.69 0.97   	    -0.94 1.3
$f_{\text{T2}}/\Lambda^{4}$ -2.1  4.4    	    -2.7 5.3     	    -2.7 3.4     	    -4.4 5.5     	    -1.6 3.1     	    -2.3 3.8
$f_{\text{M0}}/\Lambda^{4}$ -13 16	    	    -19 18	    	    -16 16	    	    -19 19	    	    -11 12	    	    -15 15
$f_{\text{M1}}/\Lambda^{4}$ -20 19	    	    -22 25	    	    -19 20	    	    -23 24	    	    -15 14	    	    -18 20
$f_{\text{M6}}/\Lambda^{4}$ -27 32	    	    -37 37	    	    -34 33	    	    -39 39	    	    -22 25	    	    -31 30
$f_{\text{M7}}/\Lambda^{4}$ -22 24	    	    -27 25	    	    -22 22	    	    -28 28	    	    -16 18	    	    -22 21
$f_{\text{S0}}/\Lambda^{4}$ -35 36	    	    -31 31	    	    -83 85	    	    -88 91	    	    -34 35	    	    -31 31
$f_{\text{S1}}/\Lambda^{4}$ -100 120     	    -100 110     	    -110 110     	    -120 130     	    -86 99	    	    -91 97
